Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
12/06/2020,EQ,28,29.7,28,29.8,29.6,29.5,28.97,145,5.65,12412232,359529823.5,50306
11/06/2020,EQ,30.6,31.7,29.6,30.4,29.9,29.8,30.62,145,5.65,20837420,638084685.1,54584
10/06/2020,EQ,30.35,30.75,30,29.85,30.6,30.4,30.42,145,5.65,15647848,475980742.5,37064
09/06/2020,EQ,31,31.6,29.7,30.6,29.75,29.85,30.69,145,5.65,23134391,710087493.6,92469
08/06/2020,EQ,29.6,32,29,28.85,30.65,30.6,30.73,145,5.65,49257680,1513458505,140105
05/06/2020,EQ,28,29.2,28,27.95,28.95,28.85,28.53,153.85,5.65,18870401,538317879.6,64928
04/06/2020,EQ,28,28.7,27.8,27.95,27.95,27.95,28.16,153.85,5.65,12148979,342069466.8,53365
03/06/2020,EQ,27.6,29.4,27.25,27.15,28,27.95,28.2,153.85,5.65,31713741,894460499,85843
02/06/2020,EQ,27.25,27.4,27.05,27.15,27.25,27.15,27.19,153.85,5.65,10006691,272085628.6,47119
01/06/2020,EQ,27.55,27.6,27,26.85,27.25,27.15,27.24,153.85,5.65,11175200,304378683.7,33191
29/05/2020,EQ,26.5,27.4,26.5,27,26.8,26.85,27,157,5.65,15150164,409053160,41967
28/05/2020,EQ,27.85,28.8,26.85,27.6,26.95,27,27.63,157,5.65,27673481,764635781.6,72303
27/05/2020,EQ,27.45,27.9,27.35,27.4,27.85,27.6,27.62,157,5.65,12273293,338970211.4,33879
26/05/2020,EQ,26.95,28.15,26.35,26.55,27.4,27.4,27.28,157,5.65,19431968,530108660,51815
22/05/2020,EQ,26.95,27,26,26.9,26.6,26.55,26.5,157,5.65,14604827,387088689.8,51172
21/05/2020,EQ,27.2,27.6,26.8,27.15,26.9,26.9,27.08,157,5.65,12109506,327971317.8,52210
20/05/2020,EQ,27.15,27.6,27.1,27.4,27.2,27.15,27.24,157,5.65,9932936,270533181.5,41038
19/05/2020,EQ,27.7,28,27.1,27.55,27.4,27.4,27.62,157,5.65,16161651,446327353.6,51088
18/05/2020,EQ,28.65,28.65,26.8,28.7,27.6,27.55,27.67,157,5.65,20466695,566298009.1,61339
15/05/2020,EQ,28.2,29,27.3,28.2,28.7,28.7,28.5,165.45,5.65,23447394,668170313.3,72060
14/05/2020,EQ,28.4,28.8,27.9,28.65,28.2,28.2,28.32,165.45,5.65,13377407,378897491,45799
13/05/2020,EQ,29,29.45,28.1,27.95,28.75,28.65,28.61,165.45,5.65,25829898,738996732.8,97833
12/05/2020,EQ,27.7,28.4,26.85,27.8,27.95,27.95,27.76,165.45,5.65,21395834,593995890.3,74548
11/05/2020,EQ,27.25,28.05,26.7,27.05,27.75,27.8,27.59,165.45,5.65,29809727,822459886.6,83625
08/05/2020,EQ,28.1,28.8,26.65,28.1,26.95,27.05,27.45,174.25,5.65,28714694,788203422.6,95719
07/05/2020,EQ,25.75,31.55,25.55,26.3,28.05,28.1,28.98,174.25,5.65,99686585,2888732506,227237
06/05/2020,EQ,26.4,26.75,25,26.6,26.4,26.3,26.13,174.25,5.65,22891215,598063098.8,84502
