Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
03/12/2019,EQ,3384.5,3384.5,3310.2,3337,3333,3334.6,3331.39,3500,2700,306,1019404.4,72
02/12/2019,EQ,3339.95,3339.95,3316,3323.75,3337,3337,3333.42,3500,2700,104,346676.1,60
29/11/2019,EQ,3344,3354.95,3320.05,3318.25,3339.7,3323.75,3338.8,3500,2682,155,517513.35,54
28/11/2019,EQ,3330,3336,3309,3319.8,3310.05,3318.25,3320.37,3500,2682,248,823451.5,66
27/11/2019,EQ,3317,3346.95,3316,3316.8,3316,3319.8,3327.22,3500,2682,45,149725,32
26/11/2019,EQ,3348,3466,3286.65,3344.75,3311.1,3316.8,3354.5,3500,2682,917,3076077.65,287
25/11/2019,EQ,3359,3359,3320.15,3359.7,3350,3344.75,3336.96,3500,2682,244,814217.65,95
22/11/2019,EQ,3373,3373,3347.1,3358,3351.05,3359.7,3363.44,3500,2682,123,413702.65,55
21/11/2019,EQ,3360,3377,3350,3364.55,3358,3358,3358.81,3500,2682,64,214963.85,30
20/11/2019,EQ,3397,3398.5,3352.25,3375.45,3362,3364.55,3368.7,3500,2682,155,522147.85,64
19/11/2019,EQ,3370,3399,3353.5,3340.2,3354.05,3375.45,3368.55,3500,2682,148,498545.6,47
18/11/2019,EQ,3335.7,3359,3335.15,3335.7,3339,3340.2,3341.34,3500,2682,185,618147.35,48
15/11/2019,EQ,3364.95,3365,3330.65,3366.55,3335.5,3335.7,3349.13,3500,2682,135,452132.8,54
14/11/2019,EQ,3356,3380.9,3356,3356.4,3370,3366.55,3368.17,3500,2682,153,515329.9,42
13/11/2019,EQ,3365.95,3375,3345,3339.1,3357.5,3356.4,3356.16,3500,2682,319,1070615.2,76
11/11/2019,EQ,3340.05,3345,3333.65,3333.6,3336.7,3339.1,3342.3,3500,2682,106,354283.75,54
08/11/2019,EQ,3360,3369,3324,3369.55,3330,3333.6,3335.45,3500,2682,575,1917885.2,94
07/11/2019,EQ,3362.05,3414.85,3357.7,3360.4,3360,3369.55,3370.45,3500,2682,215,724646.2,64
06/11/2019,EQ,3388.85,3388.85,3350,3395.2,3369,3360.4,3357.26,3500,2682,1129,3790342.25,122
05/11/2019,EQ,3396.25,3410,3390,3396.25,3398.95,3395.2,3397.88,3500,2682,231,784910.8,89
04/11/2019,EQ,3400,3409.95,3370.55,3398.7,3409,3396.25,3394.07,3500,2682,264,896035.35,90
01/11/2019,EQ,3398,3414,3390.35,3390.05,3399.9,3398.7,3400.42,3500,2682,386,1312560.45,87
31/10/2019,EQ,3398.5,3399,3371.05,3362.65,3391,3390.05,3387.27,3500,2682,296,1002631.7,54
