,DATE,SERIES,OPEN,HIGH,LOW,PREV_CLOSE,LTP,CLOSE,VWAP,52W_H,52W_L,VOLUME,VALUE,NO_OF_TRADES
69,08/05/2020,EQ,29.85,30.2,29.05,29.7,29.2,29.2,29.61,91.2,28.05,14358405,425210511.2,25415
70,07/05/2020,EQ,29.15,30.25,28.9,29.35,29.6,29.7,29.76,91.2,28.05,14841128,441726963.3,28936
71,06/05/2020,EQ,29.2,29.6,28.5,29.2,29.5,29.35,29.09,91.2,28.05,18005225,523844794.4,33415
72,05/05/2020,EQ,30.5,30.75,29.05,30.15,29.2,29.2,29.92,91.2,28.05,19121806,572153226.5,37420
73,04/05/2020,EQ,30.9,31.1,29.9,32.3,30.2,30.15,30.41,91.2,28.05,21841848,664103999.8,40010
74,30/04/2020,EQ,32.7,33.7,32.1,32.3,32.4,32.3,32.88,91.2,28.05,31467001,1034716575.0,57094
75,29/04/2020,EQ,31.3,32.5,31.1,31.25,32.3,32.3,31.97,91.2,28.05,18719199,598396618.6,33890
76,28/04/2020,EQ,30.8,31.35,30.7,30.75,31.3,31.25,31.11,91.2,28.05,11780170,366529643.4,20413
77,27/04/2020,EQ,30.4,30.9,30.3,30.2,30.85,30.75,30.59,91.2,28.05,11950763,365558727.7,21737
78,24/04/2020,EQ,30.7,31.1,30.15,31.2,30.25,30.2,30.6,91.2,28.05,14351047,439200675.3,27294
79,23/04/2020,EQ,31.5,31.75,31.0,31.1,31.15,31.2,31.37,91.2,28.05,19393369,608368850.0,30595
80,22/04/2020,EQ,31.0,31.25,30.2,31.1,31.25,31.1,30.81,91.2,28.05,18793922,579117801.7,30838
81,21/04/2020,EQ,32.3,32.35,30.95,32.85,31.0,31.1,31.46,91.2,28.05,21858220,687716129.3,40092
82,20/04/2020,EQ,32.1,33.9,31.4,31.8,33.0,32.85,32.87,91.2,28.05,41211953,1354431197.0,68001
83,17/04/2020,EQ,32.25,32.75,31.0,31.05,31.85,31.8,31.67,94.45,28.05,28208948,893426641.3,45690
84,16/04/2020,EQ,31.1,31.5,30.55,31.1,31.2,31.05,31.08,94.45,28.05,19994398,621345007.8,40554
85,15/04/2020,EQ,31.55,32.6,30.6,31.35,31.1,31.1,31.75,94.45,28.05,22095563,701447482.2,44456
86,13/04/2020,EQ,31.75,31.75,30.3,31.4,31.45,31.35,30.97,94.45,28.05,16584316,513600338.6,30506
87,09/04/2020,EQ,30.7,31.9,30.6,30.5,31.45,31.4,31.18,95.0,28.05,23014346,717522846.2,43925
88,08/04/2020,EQ,29.9,31.6,29.4,30.05,30.4,30.5,30.69,95.0,28.05,29666254,910403689.3,48745
89,07/04/2020,EQ,30.5,30.5,29.65,29.65,29.9,30.05,29.97,95.0,28.05,21962474,658218616.7,41628
90,03/04/2020,EQ,30.5,30.7,29.25,30.45,29.6,29.65,29.59,99.9,28.05,20697301,612483262.0,52977
91,01/04/2020,EQ,32.5,32.5,30.25,32.35,30.45,30.45,30.85,99.9,28.05,26646151,821954018.3,72350
92,31/03/2020,EQ,33.7,33.7,32.2,32.9,32.25,32.35,32.67,99.9,28.05,18298389,597805635.4,43264
93,30/03/2020,EQ,33.4,33.9,32.35,33.45,32.9,32.9,33.14,99.9,28.05,16723656,554148731.5,38635
94,27/03/2020,EQ,34.5,35.95,33.25,33.4,33.4,33.45,34.42,99.9,28.05,30682531,1055980449.0,61785
95,26/03/2020,EQ,34.55,35.8,33.2,34.3,33.3,33.4,34.23,99.9,28.05,29588273,1012923899.0,74241
96,25/03/2020,EQ,36.0,36.35,33.15,36.3,34.15,34.3,34.25,99.9,28.05,24608412,842920238.2,52032
97,24/03/2020,EQ,37.0,37.5,35.4,35.4,36.3,36.3,36.48,99.9,28.05,26937850,982561627.4,45547
98,23/03/2020,EQ,35.95,37.5,34.7,38.05,36.15,35.4,36.07,99.9,28.05,18562614,669467561.6,43794
99,20/03/2020,EQ,37.5,39.0,36.7,37.2,38.2,38.05,37.87,99.9,28.05,34439688,1304194606.0,62555
100,19/03/2020,EQ,35.0,39.4,34.3,36.75,37.05,37.2,37.22,99.9,28.05,38506335,1433211332.0,75460
101,18/03/2020,EQ,36.0,39.25,33.9,35.3,37.6,36.75,35.44,99.9,28.05,41813232,1481698134.0,58655
102,17/03/2020,EQ,36.5,37.2,34.95,35.8,35.5,35.3,36.14,99.9,28.05,28305769,1022876179.0,51097
103,16/03/2020,EQ,36.0,36.4,34.55,37.4,35.9,35.8,35.67,99.9,28.05,26751298,954339043.5,49150
104,13/03/2020,EQ,31.2,38.15,28.05,33.75,38.0,37.4,34.49,99.9,28.05,46283334,1596479344.0,92823
105,12/03/2020,EQ,35.35,36.3,33.1,38.45,34.1,33.75,34.76,99.9,33.1,45672411,1587682442.0,76464
106,11/03/2020,EQ,39.75,40.65,37.9,39.75,38.0,38.45,39.47,99.9,37.9,29800139,1176344367.0,55177
107,09/03/2020,EQ,41.15,41.5,39.35,42.35,39.6,39.75,40.52,99.9,39.35,23193524,939891753.8,45038
108,06/03/2020,EQ,41.65,43.2,40.95,45.0,42.4,42.35,42.46,99.9,40.95,23178204,984216434.5,41977
109,05/03/2020,EQ,44.5,45.95,42.7,44.45,44.75,45.0,44.67,99.9,42.1,29076191,1298940129.0,49993
110,04/03/2020,EQ,44.75,44.95,43.05,44.5,44.35,44.45,44.0,99.9,42.1,24911682,1096195626.0,38934
111,03/03/2020,EQ,42.75,45.0,42.75,42.75,44.65,44.5,43.72,99.9,42.1,30389904,1328679338.0,43302
112,02/03/2020,EQ,46.3,46.6,42.1,45.05,42.6,42.75,44.67,99.9,42.1,24375256,1088910689.0,45856
113,28/02/2020,EQ,45.25,46.35,44.3,46.95,44.95,45.05,45.35,99.9,44.3,28222955,1279807722.0,50197
114,27/02/2020,EQ,49.1,49.3,46.8,49.15,46.8,46.95,47.57,99.9,46.8,26564325,1263744385.0,50089
115,26/02/2020,EQ,49.45,50.1,49.0,49.9,49.05,49.15,49.51,99.9,49.0,18056503,893998615.8,29745
116,25/02/2020,EQ,50.4,50.7,49.75,50.35,49.85,49.9,50.2,99.9,49.75,15899668,798209183.0,32202
117,24/02/2020,EQ,51.85,51.85,50.1,52.85,50.15,50.35,50.99,99.9,49.9,20135592,1026686940.0,37219
118,20/02/2020,EQ,52.5,53.7,52.05,52.7,52.8,52.85,52.98,99.9,49.9,14961174,792574878.8,27584
119,19/02/2020,EQ,52.5,53.1,51.7,52.0,52.8,52.7,52.44,99.9,49.9,13554123,710719731.5,25154
120,18/02/2020,EQ,51.9,52.5,49.9,51.95,52.45,52.0,51.07,99.9,49.9,22621843,1155409766.0,42912
121,17/02/2020,EQ,54.1,54.35,51.65,54.2,51.8,51.95,52.56,99.9,51.65,18893364,993031243.0,35266
